Province/State,Country/Region,Lat,Lon,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,death_per_100_case,death_past_3_days
,Bosnia and Herzegovina,43.9159,17.6791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47712125471966244,0.0,0.3010299956639812,0.0,0.0,0.47712125471966244,0.47712125471966244,0.6989700043360189,0.47712125471966244,0.7781512503836436,0.8450980400142568,0.3010299956639812,0.3010299956639812,1.1139433523068367,1.414973347970818,1.4313637641589874,0.6989700043360189,1.5314789170422551,1.0413926851582251,1.4913616938342726,1.8072288,2.0
,Brazil,-14.235,-51.9253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.47712125471966244,0.0,1.0,0.0,0.9030899869919435,0.7781512503836436,0.8450980400142568,0.9030899869919435,1.1760912590556813,2.0,0.0,1.0791812460476249,1.591064607026499,2.0863598306747484,1.7160033436347992,2.3979400086720375,2.2380461031287955,2.359835482339888,2.7209857441537393,2.578639209968072,2.510545010206612,2.047174,31.0
,Brunei,4.5353,114.7277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,1.0413926851582251,0.0,1.4313637641589874,0.6020599913279624,1.0413926851582251,0.6989700043360189,0.47712125471966244,1.1139433523068367,0.9030899869919435,0.6020599913279624,0.7781512503836436,0.7781512503836436,0.6020599913279624,1.146128035678238,0.0,0.0
,Bulgaria,42.7339,25.4858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.0,0.0,0.6020599913279624,0.0,1.2304489213782739,1.2787536009528289,1.0413926851582251,0.3010299956639812,1.2041199826559248,1.414973347970818,0.47712125471966244,1.5314789170422551,1.568201724066995,1.3979400086720377,1.1760912590556813,1.255272505103306,1.3761468,0.0
,Burkina Faso,12.2383,-1.5616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.3010299956639812,0.0,0.0,0.0,0.3010299956639812,1.1139433523068367,0.0,0.7781512503836436,1.146128035678238,0.9030899869919435,1.3979400086720377,1.0791812460476249,1.3979400086720377,1.2041199826559248,3.508772,2.0
,Cabo Verde,16.5388,-23.0418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.47712125471966244,0.0,0.0,0.0,33.333336,1.0
,Cambodia,11.55,104.9167,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.3010299956639812,0.0,0.47712125471966244,0.47712125471966244,0.0,0.0,1.4313637641589874,0.47712125471966244,0.47712125471966244,1.1760912590556813,0.47712125471966244,1.505149978319906,0.6020599913279624,0.6989700043360189,0.0,0.0
,Cameroon,3.8480000000000003,11.5021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47712125471966244,0.8450980400142568,0.0,0.6020599913279624,0.9030899869919435,0.9030899869919435,1.146128035678238,1.2304489213782739,1.0413926851582251,0.0,0.0
Alberta,Canada,53.9333,-116.5765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.3010299956639812,0.47712125471966244,0.6020599913279624,0.0,1.1139433523068367,0.0,1.0413926851582251,0.0,1.0413926851582251,1.255272505103306,1.2787536009528289,1.380211241711606,1.3617278360175928,1.4471580313422192,1.6989700043360187,1.8129133566428555,1.6334684555795864,1.7708520116421442,0.27855152,0.0
British Columbia,Canada,49.2827,-123.1207,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.47712125471966244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.3010299956639812,0.6020599913279624,0.3010299956639812,0.9542425094393249,0.0,0.8450980400142568,0.7781512503836436,0.0,0.9030899869919435,0.9030899869919435,1.2787536009528289,0.0,1.0,1.4913616938342726,0.0,1.9242792860618816,1.662757831681574,1.6127838567197355,2.187520720836463,0.0,1.6901960800285136,2.164352855784437,2.1069694,3.0
